2-theta,Intensity
 10.34000,0.00265
 10.35000,0.00265
 10.36000,0.00265
 10.37000,0.00264
 10.38000,0.00264
 10.39000,0.00264
 10.40000,0.00264
 10.41000,0.00263
 10.42000,0.00263
 10.43000,0.00263
 10.44000,0.00263
 10.45000,0.00262
 10.46000,0.00262
 10.47000,0.00262
 10.48000,0.00262
 10.49000,0.00261
 10.50000,0.00261
 10.51000,0.00261
 10.52000,0.00261
 10.53000,0.00261
 10.54000,0.00260
 10.55000,0.00260
 10.56000,0.00260
 10.57000,0.00260
 10.58000,0.00259
 10.59000,0.00259
 10.60000,0.00259
 10.61000,0.00259
 10.62000,0.00258
 10.63000,0.00258
 10.64000,0.00258
 10.65000,0.00258
 10.66000,0.00258
 10.67000,0.00257
 10.68000,0.00257
 10.69000,0.00257
 10.70000,0.00257
 10.71000,0.00256
 10.72000,0.00256
 10.73000,0.00256
 10.74000,0.00256
 10.75000,0.00256
 10.76000,0.00255
 10.77000,0.00255
 10.78000,0.00255
 10.79000,0.00255
 10.80000,0.00255
 10.81000,0.00254
 10.82000,0.00254
 10.83000,0.00254
 10.84000,0.00254
 10.85000,0.00254
 10.86000,0.00253
 10.87000,0.00253
 10.88000,0.00253
 10.89000,0.00253
 10.90000,0.00253
 10.91000,0.00252
 10.92000,0.00252
 10.93000,0.00252
 10.94000,0.00252
 10.95000,0.00252
 10.96000,0.00251
 10.97000,0.00251
 10.98000,0.00251
 10.99000,0.00251
 11.00000,0.00251
 11.01000,0.00250
 11.02000,0.00250
 11.03000,0.00250
 11.04000,0.00250
 11.05000,0.00250
 11.06000,0.00249
 11.07000,0.00249
 11.08000,0.00249
 11.09000,0.00249
 11.10000,0.00249
 11.11000,0.00248
 11.12000,0.00248
 11.13000,0.00248
 11.14000,0.00248
 11.15000,0.00248
 11.16000,0.00248
 11.17000,0.00247
 11.18000,0.00247
 11.19000,0.00247
 11.20000,0.00247
 11.21000,0.00247
 11.22000,0.00247
 11.23000,0.00246
 11.24000,0.00246
 11.25000,0.00246
 11.26000,0.00246
 11.27000,0.00246
 11.28000,0.00245
 11.29000,0.00245
 11.30000,0.00245
 11.31000,0.00245
 11.32000,0.00245
 11.33000,0.00245
 11.34000,0.00244
 11.35000,0.00244
 11.36000,0.00244
 11.37000,0.00244
 11.38000,0.00244
 11.39000,0.00244
 11.40000,0.00243
 11.41000,0.00243
 11.42000,0.00243
 11.43000,0.00243
 11.44000,0.00243
 11.45000,0.00243
 11.46000,0.00242
 11.47000,0.00242
 11.48000,0.00242
 11.49000,0.00242
 11.50000,0.00242
 11.51000,0.00242
 11.52000,0.00242
 11.53000,0.00241
 11.54000,0.00241
 11.55000,0.00241
 11.56000,0.00241
 11.57000,0.00241
 11.58000,0.00241
 11.59000,0.00240
 11.60000,0.00240
 11.61000,0.00240
 11.62000,0.00240
 11.63000,0.00240
 11.64000,0.00240
 11.65000,0.00240
 11.66000,0.00239
 11.67000,0.00239
 11.68000,0.00239
 11.69000,0.00239
 11.70000,0.00239
 11.71000,0.00239
 11.72000,0.00239
 11.73000,0.00238
 11.74000,0.00238
 11.75000,0.00238
 11.76000,0.00238
 11.77000,0.00238
 11.78000,0.00238
 11.79000,0.00238
 11.80000,0.00237
 11.81000,0.00237
 11.82000,0.00237
 11.83000,0.00237
 11.84000,0.00237
 11.85000,0.00237
 11.86000,0.00237
 11.87000,0.00236
 11.88000,0.00236
 11.89000,0.00236
 11.90000,0.00236
 11.91000,0.00236
 11.92000,0.00236
 11.93000,0.00236
 11.94000,0.00236
 11.95000,0.00235
 11.96000,0.00235
 11.97000,0.00235
 11.98000,0.00235
 11.99000,0.00235
 12.00000,0.00235
 12.01000,0.00235
 12.02000,0.00235
 12.03000,0.00234
 12.04000,0.00234
 12.05000,0.00234
 12.06000,0.00234
 12.07000,0.00234
 12.08000,0.00234
 12.09000,0.00234
 12.10000,0.00234
 12.11000,0.00233
 12.12000,0.00233
 12.13000,0.00233
 12.14000,0.00233
 12.15000,0.00233
 12.16000,0.00233
 12.17000,0.00233
 12.18000,0.00233
 12.19000,0.00232
 12.20000,0.00232
 12.21000,0.00232
 12.22000,0.00232
 12.23000,0.00232
 12.24000,0.00232
 12.25000,0.00232
 12.26000,0.00232
 12.27000,0.00232
 12.28000,0.00231
 12.29000,0.00231
 12.30000,0.00231
 12.31000,0.00231
 12.32000,0.00231
 12.33000,0.00231
 12.34000,0.00231
 12.35000,0.00231
 12.36000,0.00231
 12.37000,0.00231
 12.38000,0.00230
 12.39000,0.00230
 12.40000,0.00230
 12.41000,0.00230
 12.42000,0.00230
 12.43000,0.00230
 12.44000,0.00230
 12.45000,0.00230
 12.46000,0.00230
 12.47000,0.00229
 12.48000,0.00229
 12.49000,0.00229
 12.50000,0.00229
 12.51000,0.00229
 12.52000,0.00229
 12.53000,0.00229
 12.54000,0.00229
 12.55000,0.00229
 12.56000,0.00229
